id,temperature,pressure,altitude,soilmoisture,note,status,class,date,time
70,29.81,9983.74,-12.27,175,3,1,Very Wet,08-10-2022,22:06:24
71,29.78,9983.75,-12.27,174,3,1,Very Wet,08-10-2022,22:06:24
72,29.75,9983.3,-12.31,176,3,1,Very Wet,08-10-2022,22:06:24
73,29.73,9983.31,-12.31,174,3,1,Very Wet,08-10-2022,22:06:24
74,29.7,9983.34,-12.31,173,3,1,Very Wet,08-10-2022,22:06:24
75,29.67,9983.52,-12.29,175,3,1,Very Wet,08-10-2022,22:06:24
76,29.64,9983.22,-12.32,174,3,1,Very Wet,08-10-2022,22:06:24
77,29.61,9982.91,-12.34,174,3,1,Very Wet,08-10-2022,22:06:24
78,29.59,9982.94,-12.34,175,3,1,Very Wet,08-10-2022,22:06:24
79,29.56,9982.6,-12.37,174,3,1,Very Wet,08-10-2022,22:06:24
80,29.53,9982.64,-12.36,176,3,1,Very Wet,08-10-2022,22:06:24
81,29.51,9982.33,-12.39,174,3,1,Very Wet,08-10-2022,22:06:24
82,29.48,9982.19,-12.4,173,3,1,Very Wet,08-10-2022,22:06:24
83,29.46,9982.02,-12.42,172,3,1,Very Wet,08-10-2022,22:06:24
84,29.43,9981.34,-12.47,164,3,1,Very Wet,08-10-2022,22:06:24
85,29.42,9981.38,-12.47,157,3,1,Very Wet,08-10-2022,22:06:24
86,29.4,9981.38,-12.47,157,3,1,Very Wet,08-10-2022,22:06:24
87,29.38,9981.57,-12.46,172,3,1,Very Wet,08-10-2022,22:06:24
88,29.36,9981.43,-12.47,164,3,1,Very Wet,08-10-2022,22:06:24
89,29.35,9981.6,-12.45,182,3,1,Very Wet,08-10-2022,22:06:24
90,29.33,9981.78,-12.44,172,3,1,Very Wet,08-10-2022,22:06:24
91,29.31,9982.12,-12.41,167,3,1,Very Wet,08-10-2022,22:06:24
92,29.3,9982.5,-12.38,456,0,0,Very Dry,08-10-2022,22:06:24
93,29.29,9982.67,-12.36,454,0,0,Very Dry,08-10-2022,22:06:24
94,29.27,9982.53,-12.37,376,0,0,Very Dry,08-10-2022,22:06:24
95,29.26,9982.7,-12.36,369,0,0,Very Dry,08-10-2022,22:06:24
96,29.25,9982.73,-12.36,368,0,0,Very Dry,08-10-2022,22:06:24
97,29.24,9982.73,-12.36,367,0,0,Very Dry,08-10-2022,22:06:24
98,29.23,9982.88,-12.35,368,0,0,Very Dry,08-10-2022,22:06:24
99,29.21,9982.73,-12.36,368,0,0,Very Dry,08-10-2022,22:06:24
100,29.2,9982.56,-12.37,364,0,0,Very Dry,08-10-2022,22:06:24
101,29.18,9982.77,-12.35,363,0,0,Very Dry,08-10-2022,22:06:24
102,29.17,9982.94,-12.34,363,0,0,Very Dry,08-10-2022,22:06:24
103,29.16,9982.79,-12.35,363,0,0,Very Dry,08-10-2022,22:06:24
104,29.14,9983.13,-12.32,360,0,0,Very Dry,08-10-2022,22:06:24
105,29.13,9982.81,-12.35,363,0,0,Very Dry,08-10-2022,22:06:24
106,29.12,9982.8,-12.35,362,0,0,Very Dry,08-10-2022,22:06:24
107,29.1,9982.47,-12.38,364,0,0,Very Dry,08-10-2022,22:06:24
108,29.1,9982.65,-12.36,365,0,0,Very Dry,08-10-2022,22:06:24
109,29.08,9982.3,-12.39,364,0,0,Very Dry,08-10-2022,22:06:24
110,29.06,9982.16,-12.41,365,0,0,Very Dry,08-10-2022,22:06:24
111,29.05,9982.67,-12.36,368,0,0,Very Dry,08-10-2022,22:06:24
112,29.04,9982.7,-12.36,362,0,0,Very Dry,08-10-2022,22:06:24
113,29.02,9982.7,-12.36,363,0,0,Very Dry,08-10-2022,22:06:24
114,29,9982.36,-12.39,363,0,0,Very Dry,08-10-2022,22:06:24
115,28.99,9982.36,-12.39,362,0,0,Very Dry,08-10-2022,22:06:24
116,28.98,9982.56,-12.37,363,0,0,Very Dry,08-10-2022,22:06:24
117,28.96,9982.22,-12.4,362,0,0,Very Dry,08-10-2022,22:06:24
118,28.96,9982.59,-12.37,367,0,0,Very Dry,08-10-2022,22:06:24
119,28.94,9982.41,-12.38,364,0,0,Very Dry,08-10-2022,22:06:24
120,28.93,9982.41,-12.38,365,0,0,Very Dry,08-10-2022,22:06:24
121,28.92,9982.78,-12.35,368,0,0,Very Dry,08-10-2022,22:06:24
122,28.91,9982.61,-12.37,362,0,0,Very Dry,08-10-2022,22:06:24
123,28.9,9982.64,-12.36,367,0,0,Very Dry,08-10-2022,22:06:24
124,28.89,9982.44,-12.38,362,0,0,Very Dry,08-10-2022,22:06:24
125,28.87,9982.09,-12.41,391,0,0,Very Dry,08-10-2022,22:06:24
126,28.86,9981.95,-12.42,323,1,0,Dry,08-10-2022,22:06:24
127,28.85,9982.12,-12.41,267,2,1,Wet,08-10-2022,22:06:24
128,28.85,9983.32,-12.31,224,2,1,Wet,08-10-2022,22:06:24
129,28.94,9987.21,-11.98,204,2,1,Wet,08-10-2022,22:06:24
130,29.28,9994.16,-11.4,188,3,1,Very Wet,08-10-2022,22:06:24
131,29.66,9990.39,-11.71,183,3,1,Very Wet,08-10-2022,22:06:24
132,29.94,9989.62,-11.78,182,3,1,Very Wet,08-10-2022,22:06:24
133,30.14,9989.06,-11.82,182,3,1,Very Wet,08-10-2022,22:06:24
134,30.28,9988.36,-11.88,182,3,1,Very Wet,08-10-2022,22:06:24
135,30.38,9987.55,-11.95,181,3,1,Very Wet,08-10-2022,22:06:24
136,30.46,9987.09,-11.99,179,3,1,Very Wet,08-10-2022,22:06:24
137,30.5,9986.53,-12.04,182,3,1,Very Wet,08-10-2022,22:06:24
138,30.53,9985.8,-12.1,181,3,1,Very Wet,08-10-2022,22:06:24
139,30.55,9985.59,-12.12,181,3,1,Very Wet,08-10-2022,22:06:24
140,30.55,9985.24,-12.15,180,3,1,Very Wet,08-10-2022,22:06:24
141,30.54,9984.94,-12.17,180,3,1,Very Wet,08-10-2022,22:06:24
142,30.53,9984.77,-12.19,178,3,1,Very Wet,08-10-2022,22:06:24
143,30.51,9984.3,-12.23,179,3,1,Very Wet,08-10-2022,22:06:24
144,30.48,9984.68,-12.19,179,3,1,Very Wet,08-10-2022,22:06:24
145,30.44,9984.7,-12.19,178,3,1,Very Wet,08-10-2022,22:06:24
146,30.4,9984.27,-12.23,180,3,1,Very Wet,08-10-2022,22:06:24
147,30.36,9984.15,-12.24,179,3,1,Very Wet,08-10-2022,22:06:24
148,30.32,9984.37,-12.22,179,3,1,Very Wet,08-10-2022,22:06:24
149,30.27,9984.08,-12.24,179,3,1,Very Wet,08-10-2022,22:06:24
150,30.22,9983.95,-12.25,181,3,1,Very Wet,08-10-2022,22:06:24
151,30.18,9983.66,-12.28,179,3,1,Very Wet,08-10-2022,22:06:24
152,30.14,9983.73,-12.27,179,3,1,Very Wet,08-10-2022,22:06:24
153,30.09,9983.41,-12.3,179,3,1,Very Wet,08-10-2022,22:06:24
154,30.07,9983.63,-12.28,179,3,1,Very Wet,08-10-2022,22:06:24
155,30.03,9983.35,-12.31,179,3,1,Very Wet,08-10-2022,22:06:24
156,29.99,9982.86,-12.35,178,3,1,Very Wet,08-10-2022,22:06:24
157,29.95,9982.75,-12.36,178,3,1,Very Wet,08-10-2022,22:06:24
158,29.91,9982.26,-12.4,179,3,1,Very Wet,08-10-2022,22:06:24
159,29.87,9981.95,-12.42,178,3,1,Very Wet,08-10-2022,22:06:24
160,29.83,9981.67,-12.45,178,3,1,Very Wet,08-10-2022,22:06:24
161,29.8,9981.38,-12.47,178,3,1,Very Wet,08-10-2022,22:06:24
162,29.76,9981.39,-12.47,178,3,1,Very Wet,08-10-2022,22:06:24
163,29.73,9980.73,-12.53,179,3,1,Very Wet,08-10-2022,22:06:24
164,29.7,9980.77,-12.52,178,3,1,Very Wet,08-10-2022,22:06:24
165,29.67,9980.78,-12.52,180,3,1,Very Wet,08-10-2022,22:06:24
166,29.65,9980.64,-12.53,168,3,1,Very Wet,08-10-2022,22:06:24
167,29.62,9980.67,-12.53,178,3,1,Very Wet,08-10-2022,22:06:24
168,29.59,9980.37,-12.56,176,3,1,Very Wet,08-10-2022,22:06:24
169,29.57,9980.03,-12.58,178,3,1,Very Wet,08-10-2022,22:06:24
170,29.54,9979.89,-12.6,177,3,1,Very Wet,08-10-2022,22:06:24
171,29.51,9979.58,-12.62,177,3,1,Very Wet,08-10-2022,22:06:24
172,29.49,9979.25,-12.65,179,3,1,Very Wet,08-10-2022,22:06:24
173,29.46,9979.45,-12.63,178,3,1,Very Wet,08-10-2022,22:06:24
174,29.44,9979.28,-12.65,179,3,1,Very Wet,08-10-2022,22:06:24
175,29.42,9979.48,-12.63,178,3,1,Very Wet,08-10-2022,22:06:24
176,29.39,9979.17,-12.66,177,3,1,Very Wet,08-10-2022,22:06:24
177,29.37,9979.2,-12.65,178,3,1,Very Wet,08-10-2022,22:06:24
178,29.35,9979.55,-12.63,177,3,1,Very Wet,08-10-2022,22:06:24
179,29.34,9979.55,-12.63,178,3,1,Very Wet,08-10-2022,22:06:24
180,29.31,9979.58,-12.62,177,3,1,Very Wet,08-10-2022,22:06:24
181,29.29,9980.09,-12.58,176,3,1,Very Wet,08-10-2022,22:06:24
182,29.27,9980.13,-12.58,178,3,1,Very Wet,08-10-2022,22:06:24
183,29.25,9980.16,-12.57,179,3,1,Very Wet,08-10-2022,22:06:24
184,29.22,9979.96,-12.59,178,3,1,Very Wet,08-10-2022,22:06:24
185,29.2,9980.16,-12.57,177,3,1,Very Wet,08-10-2022,22:06:24
186,29.18,9980.19,-12.57,193,3,1,Very Wet,08-10-2022,22:06:24
187,29.17,9980.39,-12.55,177,3,1,Very Wet,08-10-2022,22:06:24
188,29.15,9980.73,-12.53,176,3,1,Very Wet,08-10-2022,22:06:24
189,29.13,9980.59,-12.54,179,3,1,Very Wet,08-10-2022,22:06:24
190,29.11,9980.91,-12.51,178,3,1,Very Wet,08-10-2022,22:06:24
191,29.1,9981.28,-12.48,178,3,1,Very Wet,08-10-2022,22:06:24
192,29.08,9981.28,-12.48,178,3,1,Very Wet,08-10-2022,22:06:24
193,29.07,9981.47,-12.46,177,3,1,Very Wet,08-10-2022,22:06:24
194,29.05,9981.48,-12.46,178,3,1,Very Wet,08-10-2022,22:06:24
195,29.03,9981.84,-12.43,178,3,1,Very Wet,08-10-2022,22:06:24
196,29.02,9981.84,-12.43,178,3,1,Very Wet,08-10-2022,22:06:24
197,29,9981.51,-12.46,178,3,1,Very Wet,08-10-2022,22:06:24
198,28.99,9981.7,-12.44,178,3,1,Very Wet,08-10-2022,22:06:24
199,28.97,9981.88,-12.43,179,3,1,Very Wet,08-10-2022,22:06:24
200,28.96,9981.91,-12.43,176,3,1,Very Wet,08-10-2022,22:06:24
201,28.94,9981.91,-12.43,178,3,1,Very Wet,08-10-2022,22:06:24
202,28.93,9981.76,-12.44,177,3,1,Very Wet,08-10-2022,22:06:24
203,28.92,9981.58,-12.45,176,3,1,Very Wet,08-10-2022,22:06:24
204,28.9,9981.76,-12.44,178,3,1,Very Wet,08-10-2022,22:06:24
205,28.89,9981.41,-12.47,178,3,1,Very Wet,08-10-2022,22:06:24
206,28.87,9981.24,-12.48,176,3,1,Very Wet,08-10-2022,22:06:24
207,28.85,9980.75,-12.52,179,3,1,Very Wet,08-10-2022,22:06:24
208,28.84,9980.78,-12.52,178,3,1,Very Wet,08-10-2022,22:06:24
209,28.82,9980.95,-12.51,176,3,1,Very Wet,08-10-2022,22:06:24
210,28.81,9980.61,-12.54,178,3,1,Very Wet,08-10-2022,22:06:24
211,28.79,9980.28,-12.56,178,3,1,Very Wet,08-10-2022,22:06:24
212,28.78,9980.09,-12.58,176,3,1,Very Wet,08-10-2022,22:06:24
213,28.77,9980.12,-12.58,177,3,1,Very Wet,08-10-2022,22:06:24
214,28.75,9979.6,-12.62,177,3,1,Very Wet,08-10-2022,22:06:24
215,28.75,9979.6,-12.62,176,3,1,Very Wet,08-10-2022,22:06:24
216,28.74,9979.63,-12.62,177,3,1,Very Wet,08-10-2022,22:06:24
217,28.72,9979.45,-12.63,178,3,1,Very Wet,08-10-2022,22:06:24
218,28.71,9978.96,-12.67,178,3,1,Very Wet,08-10-2022,22:06:24
219,28.7,9978.63,-12.7,176,3,1,Very Wet,08-10-2022,22:06:24
220,28.69,9978.47,-12.72,176,3,1,Very Wet,08-10-2022,22:06:24
221,28.68,9978.47,-12.72,177,3,1,Very Wet,08-10-2022,22:06:24
222,28.66,9978.27,-12.73,178,3,1,Very Wet,08-10-2022,22:06:24
223,28.65,9978.13,-12.74,178,3,1,Very Wet,08-10-2022,22:06:24
224,28.64,9977.78,-12.77,176,3,1,Very Wet,08-10-2022,22:06:24
225,28.63,9978.15,-12.74,178,3,1,Very Wet,08-10-2022,22:06:24
226,28.62,9977.98,-12.76,177,3,1,Very Wet,08-10-2022,22:06:24
227,28.61,9977.63,-12.79,177,3,1,Very Wet,08-10-2022,22:06:24
228,28.6,9977.83,-12.77,177,3,1,Very Wet,08-10-2022,22:06:24
229,28.58,9977.14,-12.83,177,3,1,Very Wet,08-10-2022,22:06:24
230,28.57,9977.14,-12.83,177,3,1,Very Wet,08-10-2022,22:06:24
231,28.56,9977.68,-12.78,176,3,1,Very Wet,08-10-2022,22:06:24
232,28.55,9977.48,-12.8,176,3,1,Very Wet,08-10-2022,22:06:24
233,28.54,9977.34,-12.81,176,3,1,Very Wet,08-10-2022,22:06:24
234,28.52,9976.98,-12.84,176,3,1,Very Wet,08-10-2022,22:06:24
235,28.51,9977.16,-12.83,177,3,1,Very Wet,08-10-2022,22:06:24
236,28.5,9976.67,-12.87,176,3,1,Very Wet,08-10-2022,22:06:24
237,28.49,9976.66,-12.87,176,3,1,Very Wet,08-10-2022,22:06:24
238,28.48,9976.49,-12.88,176,3,1,Very Wet,08-10-2022,22:06:24
239,28.51,9978.7,-12.7,180,3,1,Very Wet,08-10-2022,22:06:24
240,28.62,9982.26,-12.4,176,3,1,Very Wet,08-10-2022,22:06:24
241,28.94,9989.78,-11.76,175,3,1,Very Wet,08-10-2022,22:06:24
242,29.28,9988.52,-11.87,177,3,1,Very Wet,08-10-2022,22:06:24
243,29.52,9987.44,-11.96,176,3,1,Very Wet,08-10-2022,22:06:24
244,29.7,9986.43,-12.05,448,0,0,Very Dry,08-10-2022,22:06:24
245,29.84,9985.42,-12.13,464,0,0,Very Dry,08-10-2022,22:06:24
246,29.93,9983.96,-12.25,378,0,0,Very Dry,08-10-2022,22:06:24
247,29.99,9983.2,-12.32,367,0,0,Very Dry,08-10-2022,22:06:24
248,30.03,9981.98,-12.42,368,0,0,Very Dry,08-10-2022,22:06:24
249,30.06,9981.08,-12.5,363,0,0,Very Dry,08-10-2022,22:06:24
250,30.07,9980.91,-12.51,368,0,0,Very Dry,08-10-2022,22:06:24
251,30.07,9980.56,-12.54,373,0,0,Very Dry,08-10-2022,22:06:24
252,30.06,9979.88,-12.6,374,0,0,Very Dry,08-10-2022,22:06:24
253,30.04,9979.2,-12.65,371,0,0,Very Dry,08-10-2022,22:06:24
254,30.02,9978.89,-12.68,369,0,0,Very Dry,08-10-2022,22:06:24
255,29.99,9978.22,-12.74,369,0,0,Very Dry,08-10-2022,22:06:24
256,29.96,9977.91,-12.76,368,0,0,Very Dry,08-10-2022,22:06:24
257,29.93,9977.44,-12.8,369,0,0,Very Dry,08-10-2022,22:06:24
258,29.89,9976.77,-12.86,370,0,0,Very Dry,08-10-2022,22:06:24
259,29.86,9976.33,-12.9,372,0,0,Very Dry,08-10-2022,22:06:24
260,29.82,9976.02,-12.92,370,0,0,Very Dry,08-10-2022,22:06:24
261,29.79,9976.03,-12.92,370,0,0,Very Dry,08-10-2022,22:06:24
262,29.77,9975.55,-12.96,371,0,0,Very Dry,08-10-2022,22:06:24
263,29.73,9975.41,-12.97,370,0,0,Very Dry,08-10-2022,22:06:24
264,29.69,9975.11,-13,368,0,0,Very Dry,08-10-2022,22:06:24
265,29.66,9974.8,-13.02,369,0,0,Very Dry,08-10-2022,22:06:24
266,29.62,9974.33,-13.06,368,0,0,Very Dry,08-10-2022,22:06:24
267,29.59,9974.36,-13.06,369,0,0,Very Dry,08-10-2022,22:06:24
268,29.55,9973.86,-13.1,369,0,0,Very Dry,08-10-2022,22:06:24
269,29.52,9973.55,-13.13,369,0,0,Very Dry,08-10-2022,22:06:24
270,29.49,9973.76,-13.11,368,0,0,Very Dry,08-10-2022,22:06:24
271,29.46,9973.47,-13.14,370,0,0,Very Dry,08-10-2022,22:06:24
272,29.43,9973.31,-13.15,373,0,0,Very Dry,08-10-2022,22:06:24
273,29.41,9973.31,-13.15,371,0,0,Very Dry,08-10-2022,22:06:24
274,29.38,9973,-13.18,368,0,0,Very Dry,08-10-2022,22:06:24
275,29.36,9973.03,-13.17,368,0,0,Very Dry,08-10-2022,22:06:24
276,29.33,9973.03,-13.17,370,0,0,Very Dry,08-10-2022,22:06:24
277,29.3,9973.23,-13.16,368,0,0,Very Dry,08-10-2022,22:06:24
278,29.27,9973.09,-13.17,370,0,0,Very Dry,08-10-2022,22:06:24
279,29.25,9973.13,-13.17,374,0,0,Very Dry,08-10-2022,22:06:24
280,29.22,9972.96,-13.18,372,0,0,Very Dry,08-10-2022,22:06:24
281,29.2,9972.97,-13.18,373,0,0,Very Dry,08-10-2022,22:06:24
282,29.17,9973.34,-13.15,373,0,0,Very Dry,08-10-2022,22:06:24
283,29.16,9973.53,-13.13,380,0,0,Very Dry,08-10-2022,22:06:24
284,29.14,9973.71,-13.12,371,0,0,Very Dry,08-10-2022,22:06:24
285,29.11,9973.53,-13.13,372,0,0,Very Dry,08-10-2022,22:06:24
286,29.09,9973.91,-13.1,372,0,0,Very Dry,08-10-2022,22:06:24
287,29.07,9973.94,-13.1,371,0,0,Very Dry,08-10-2022,22:06:24
288,29.05,9973.94,-13.1,373,0,0,Very Dry,08-10-2022,22:06:24
289,29.03,9973.8,-13.11,371,0,0,Very Dry,08-10-2022,22:06:24
290,29.01,9974.16,-13.08,369,0,0,Very Dry,08-10-2022,22:06:24
291,28.99,9973.8,-13.11,372,0,0,Very Dry,08-10-2022,22:06:24
292,28.97,9973.65,-13.12,369,0,0,Very Dry,08-10-2022,22:06:24
293,28.95,9973.67,-13.12,370,0,0,Very Dry,08-10-2022,22:06:24
294,28.95,9974.02,-13.09,370,0,0,Very Dry,08-10-2022,22:06:24
295,28.93,9973.88,-13.1,370,0,0,Very Dry,08-10-2022,22:06:24
296,28.91,9974.05,-13.09,371,0,0,Very Dry,08-10-2022,22:06:24
297,28.9,9973.73,-13.11,369,0,0,Very Dry,08-10-2022,22:06:24
298,28.88,9973.53,-13.13,368,0,0,Very Dry,08-10-2022,22:06:24
299,28.87,9973.56,-13.13,353,0,0,Very Dry,08-10-2022,22:06:24
300,28.85,9973.22,-13.16,316,1,0,Dry,08-10-2022,22:06:24
301,28.84,9973.59,-13.13,261,2,1,Wet,08-10-2022,22:06:24
302,28.82,9973.75,-13.11,216,2,1,Wet,08-10-2022,22:06:24
303,28.81,9973.75,-13.11,196,3,1,Very Wet,08-10-2022,22:06:24
304,28.8,9973.95,-13.1,181,3,1,Very Wet,08-10-2022,22:06:24
305,28.79,9973.95,-13.1,176,3,1,Very Wet,08-10-2022,22:06:24
306,28.78,9974.12,-13.08,182,3,1,Very Wet,08-10-2022,22:06:24
307,28.77,9974.12,-13.08,176,3,1,Very Wet,08-10-2022,22:06:24
308,28.76,9973.95,-13.1,177,3,1,Very Wet,08-10-2022,22:06:24
309,28.75,9974.12,-13.08,176,3,1,Very Wet,08-10-2022,22:06:24
310,28.74,9974.31,-13.07,217,2,1,Wet,08-10-2022,22:06:24
311,28.73,9973.8,-13.11,214,2,1,Wet,08-10-2022,22:06:24
312,28.72,9974.14,-13.08,211,2,1,Wet,08-10-2022,22:06:24
313,28.71,9974,-13.09,211,2,1,Wet,08-10-2022,22:06:24
314,28.7,9974,-13.09,211,2,1,Wet,08-10-2022,22:06:24
315,28.69,9973.83,-13.11,211,2,1,Wet,08-10-2022,22:06:24
316,28.69,9973.85,-13.1,211,2,1,Wet,08-10-2022,22:06:24
317,28.68,9974.19,-13.08,212,2,1,Wet,08-10-2022,22:06:24
318,28.68,9974.02,-13.09,211,2,1,Wet,08-10-2022,22:06:24
319,28.67,9973.65,-13.12,211,2,1,Wet,08-10-2022,22:06:24
320,28.66,9973.82,-13.11,210,2,1,Wet,08-10-2022,22:06:24
321,28.65,9973.67,-13.12,210,2,1,Wet,08-10-2022,22:06:24
322,28.64,9973.33,-13.15,210,2,1,Wet,08-10-2022,22:06:24
323,28.63,9973.5,-13.13,210,2,1,Wet,08-10-2022,22:06:24
324,28.63,9973.36,-13.15,211,2,1,Wet,08-10-2022,22:06:24
325,28.62,9973.19,-13.16,210,2,1,Wet,08-10-2022,22:06:24
326,28.6,9973.01,-13.18,211,2,1,Wet,08-10-2022,22:06:24
327,28.59,9972.86,-13.19,209,2,1,Wet,08-10-2022,22:06:24
328,28.58,9972.52,-13.22,210,2,1,Wet,08-10-2022,22:06:24
329,28.58,9972.69,-13.2,210,2,1,Wet,08-10-2022,22:06:24
330,28.57,9972.72,-13.2,209,2,1,Wet,08-10-2022,22:06:24
331,28.55,9972.34,-13.23,211,2,1,Wet,08-10-2022,22:06:24
332,28.54,9972.52,-13.22,210,2,1,Wet,08-10-2022,22:06:24
333,28.53,9972.53,-13.22,210,2,1,Wet,08-10-2022,22:06:24
334,28.52,9972.7,-13.2,209,2,1,Wet,08-10-2022,22:06:24
335,28.51,9972.53,-13.22,209,2,1,Wet,08-10-2022,22:06:24
336,28.5,9972.56,-13.21,209,2,1,Wet,08-10-2022,22:06:24
337,28.49,9972.56,-13.21,210,2,1,Wet,08-10-2022,22:06:24
338,28.48,9972.56,-13.21,210,2,1,Wet,08-10-2022,22:06:24
339,28.47,9972.58,-13.21,209,2,1,Wet,08-10-2022,22:06:24
340,28.46,9972.58,-13.21,210,2,1,Wet,08-10-2022,22:06:24
341,28.46,9972.58,-13.21,210,2,1,Wet,08-10-2022,22:06:24
342,28.45,9972.6,-13.21,208,2,1,Wet,08-10-2022,22:06:24
